Epoch,Macro_F1,Micro_F1
0,0.3310,0.3387
1,0.2289,0.3303
2,0.2478,0.3426
3,0.2368,0.3549
4,0.2960,0.3803
5,0.3328,0.3669
6,0.3717,0.3778
7,0.3858,0.3838
8,0.3872,0.3856
9,0.4017,0.4025
10,0.4185,0.4222
11,0.4092,0.4278
12,0.4216,0.4574
13,0.3843,0.4430
14,0.3266,0.4151
15,0.3168,0.4169
16,0.3055,0.4123
17,0.2824,0.4004
18,0.3213,0.4225
19,0.3110,0.4130
20,0.3092,0.4077
21,0.3322,0.4208
22,0.3539,0.4306
23,0.3554,0.4268
24,0.3723,0.4338
25,0.3926,0.4412
26,0.4036,0.4496
27,0.4202,0.4570
28,0.4144,0.4468
29,0.4209,0.4500
30,0.4348,0.4616
31,0.4508,0.4704
32,0.4603,0.4757
33,0.4765,0.4919
34,0.4748,0.4884
35,0.5059,0.5215
36,0.5117,0.5271
37,0.5066,0.5211
38,0.5110,0.5299
39,0.5352,0.5496
40,0.5380,0.5518
41,0.5262,0.5408
42,0.5452,0.5570
43,0.5538,0.5620
44,0.5505,0.5581
45,0.5541,0.5630
46,0.5428,0.5532
47,0.5624,0.5711
48,0.5748,0.5827
49,0.5675,0.5771
50,0.5523,0.5644
51,0.5628,0.5764
52,0.5746,0.5866
53,0.5651,0.5764
54,0.5725,0.5820
55,0.5925,0.6007
56,0.5813,0.5898
57,0.5826,0.5912
58,0.5874,0.5968
59,0.5833,0.5919
60,0.5784,0.5894
61,0.5964,0.6070
62,0.5772,0.5884
63,0.5872,0.5982
64,0.5925,0.6018
65,0.5768,0.5835
66,0.5917,0.5972
67,0.5828,0.5915
68,0.5758,0.5870
69,0.5961,0.6085
70,0.5864,0.5989
71,0.5908,0.6000
72,0.6085,0.6158
73,0.6016,0.6077
74,0.5917,0.6025
75,0.5944,0.6035
76,0.5939,0.6025
77,0.5862,0.5968
78,0.5826,0.5930
79,0.5943,0.6049
80,0.5970,0.6074
81,0.5977,0.6053
82,0.6063,0.6144
83,0.5947,0.6042
84,0.5953,0.6035
85,0.5966,0.6070
86,0.6024,0.6123
87,0.5848,0.5986
88,0.6037,0.6130
89,0.6170,0.6268
90,0.5908,0.5979
91,0.5897,0.5975
92,0.5926,0.6004
93,0.5930,0.6042
94,0.6085,0.6190
95,0.6119,0.6211
96,0.6093,0.6183
97,0.5968,0.6067
98,0.6025,0.6116
99,0.6016,0.6130
100,0.6058,0.6155
101,0.6121,0.6201
102,0.6189,0.6278
103,0.6157,0.6222
104,0.6012,0.6102
105,0.6143,0.6225
106,0.5941,0.6032
107,0.6111,0.6204
108,0.6022,0.6127
109,0.6059,0.6162
110,0.6044,0.6130
111,0.6111,0.6197
112,0.6165,0.6261
113,0.6132,0.6208
114,0.6167,0.6222
115,0.6048,0.6123
116,0.5987,0.6088
117,0.6248,0.6327
118,0.6010,0.6134
119,0.6158,0.6232
120,0.6011,0.6088
121,0.6171,0.6232
122,0.6071,0.6134
123,0.6162,0.6236
124,0.6082,0.6169
125,0.5995,0.6106
126,0.6168,0.6254
127,0.6173,0.6250
128,0.6040,0.6127
129,0.5990,0.6085
130,0.6048,0.6148
131,0.6063,0.6155
132,0.6147,0.6243
133,0.6127,0.6211
134,0.6219,0.6292
135,0.6093,0.6180
136,0.6100,0.6183
137,0.6084,0.6165
138,0.6138,0.6208
139,0.6267,0.6352
140,0.6302,0.6370
141,0.6200,0.6285
142,0.6151,0.6229
143,0.6164,0.6243
144,0.6068,0.6144
145,0.6124,0.6204
146,0.6258,0.6345
147,0.6178,0.6257
148,0.6198,0.6285
149,0.6124,0.6236
150,0.6150,0.6250
151,0.6053,0.6158
152,0.6274,0.6352
153,0.6193,0.6268
154,0.6100,0.6194
155,0.6153,0.6232
156,0.6123,0.6204
157,0.6182,0.6261
158,0.6151,0.6229
159,0.6159,0.6246
160,0.6300,0.6384
161,0.6189,0.6275
162,0.6340,0.6391
163,0.6190,0.6278
164,0.6136,0.6218
165,0.6228,0.6303
166,0.6250,0.6317
167,0.6139,0.6246
168,0.6214,0.6292
169,0.6193,0.6271
170,0.6179,0.6289
171,0.6249,0.6345
172,0.6163,0.6254
173,0.6135,0.6218
174,0.6184,0.6250
175,0.6261,0.6327
176,0.6303,0.6373
177,0.6274,0.6345
178,0.6315,0.6401
179,0.6114,0.6243
180,0.6262,0.6352
181,0.6240,0.6313
182,0.6045,0.6144
183,0.6423,0.6486
184,0.6349,0.6423
185,0.6235,0.6310
186,0.6180,0.6292
187,0.6236,0.6335
188,0.6289,0.6380
189,0.6189,0.6261
190,0.6285,0.6356
191,0.6182,0.6257
192,0.6184,0.6289
193,0.6194,0.6289
194,0.6233,0.6331
195,0.6242,0.6338
196,0.6244,0.6327
197,0.6417,0.6486
198,0.6321,0.6373
199,0.6193,0.6275
